Denominazione,Indirizzo,Coordinate
001 - Polizza,frazione Polizza - strada Polizza,"13° 36' 48.29'' E, 46° 08' 21.08'' N"
002 - Fermata Autobus Tribil Superiore,Tribil Superiore - Tribil Superiore,"13° 37' 01.84'' E, 46° 08' 29.53'' N"
003 - Piazzale Municipio,Stregna - piazzale municipio,"13° 34' 40.21'' E, 46° 07' 36.92'' N"
004 - Parcheggio Postregna,Postregna - Località Postregna,"13° 34' 09.25'' E, 46° 07' 34.45'' N"
005 - Piazzale Zamir,Zamir - ,"13° 33' 48.10'' E, 46° 07' 32.88'' N"
006 - Parcheggio Raune,Raune - ,"13° 34' 43.34'' E, 46° 08' 24.80'' N"
007 - Parcheggio Oblizza,Oblizza - ,"13° 35' 30.37'' E, 46° 08' 15.06'' N"
008 - Piazzale Dughe,Dughe - ,"13° 36' 13.90'' E, 46° 08' 31.20'' N"
009 - Ingresso frazione di Gnidovizza,Gnidovizza - ,"13° 36' 55.44'' E, 46° 08' 03.91'' N"
010 - Slargo frazione Clinaz,Clinaz - ,"13° 36' 46.87'' E, 46° 07' 35.94'' N"
011 - Fermata autobus frazione Varch,Varch - ,"13° 36' 07.43'' E, 46° 07' 21.87'' N"
012 - Fermata autobus frazione Tribil Inferiore,Tribil Inferiore - ,"13° 35' 05.67'' E, 46° 07' 12.22'' N"
013 - Piazzale Presserie, - ,"13° 35' 46.98'' E, 46° 07' 33.45'' N"
014 - Ingresso frazione di Cernetig,Cernetig - ,"13° 35' 17.35'' E, 46° 07' 39.01'' N"
015 - Ingresso frazione di Podgora,Podgora - Podgora,"13° 35' 07.74'' E, 46° 08' 02.64'' N"
017 - Frazione Melina,Melina - ,"13° 36' 13.92'' E, 46° 06' 51.34'' N"
Denominazione,Indirizzo,Coordinate
004 - Parcheggio via Visinale,Muzzana del T. - via Visinale (a fianco del civ. 11),"13° 07' 40.24'' E, 45° 48' 57.11'' N"
005 - Parcheggio via Pruan,Muzzana del Turgnano - Via Pruan ,"13° 07' 36.19'' E, 45° 49' 16.69'' N"
006 - Parcheggio sottopasso via Maggiore,Muzzana del Turgnano - Via Maggiore,"13° 07' 32.42'' E, 45° 48' 55.02'' N"
007 - Parcheggio antistante Hotel Turgnano,Muzzana del Turgnano - Via Circonvallazione,"13° 07' 45.16'' E, 45° 49' 07.13'' N"
008 - Via Erica,Muzzana del Turgnano - Via Erica,"13° 07' 31.56'' E, 45° 49' 09.27'' N"
009 - Parcheggio fermata scuolabus via Case Nuove,Casali Franceschinis - Via Case Nuove ,"13° 09' 11.14'' E, 45° 50' 37.03'' N"
010 - Area antistante il Cimitero,Muzzana del Turgnano - Via San Gervasio,"13° 08' 01.76'' E, 45° 49' 03.16'' N"
011 -  Parcheggio Piazza Luigi Sbaiz,Muzzana del Turgnano - Via Visinale,"13° 07' 37.35'' E, 45° 49' 01.38'' N"
012 - Parcheggio Via Levada,Muzzana del Turgnano - Via Levada,"13° 07' 37.88'' E, 45° 48' 47.83'' N"
013 - Parcheggio Via Baroso,Muzzana del Turgnano - Via Baroso,"13° 07' 31.78'' E, 45° 48' 46.82'' N"
014 - Parcheggio Banca Credito Cooperativo Via Palazzolo,Muzzana del Turgnano - Via Palazzolo,"13° 07' 15.67'' E, 45° 48' 56.54'' N"
015 - Incrocio via Selvotta/via Viri,Muzzana del Turgnano - Via Selvotta,"13° 08' 00.67'' E, 45° 49' 27.47'' N"
Denominazione,Indirizzo,Coordinate
001 - Campo sportivo di Gris Cuccana,Cuccana - Via IV Novembre,"13° 13' 49.73'' E, 45° 55' 55.44'' N"
