Denominazione,Indirizzo,Coordinate
001 - Sanguarzo - Via Giovanni Battista Boscutti,Sanguarzo - Via Giovanni Battista Boscutti n. 2,"13° 27' 11.28'' E, 46° 06' 18.53'' N"
003 - Rubignacco ,Rubignacco - Via Rubignacco n. 1,"13° 25' 00.70'' E, 46° 06' 05.51'' N"
004 - Rubignacco - Campo sportivo CIVIFORM,Rubignacco - Viale Gemona n. 29,"13° 25' 07.82'' E, 46° 05' 55.85'' N"
005 - Cividale del Friuli - Piazzale Antonio Fasano,Cividale del Friuli - Piazzale Antonio Fasano,"13° 25' 58.02'' E, 46° 05' 44.17'' N"
006 - Cividale del Friuli - Piazzale Antonio Comelli,Cividale del Friuli - Piazzale Antonio Comelli,"13° 25' 53.49'' E, 46° 05' 45.60'' N"
007 - Cividale del Friuli - Piazzale Angelo Albini,Cividale del Friuli - Piazzale Angelo Albini,"13° 25' 09.71'' E, 46° 05' 45.81'' N"
008 - Grupignano - Via Premariacco 28,Grupignano - Via Premariacco n. 28,"13° 25' 00.65'' E, 46° 05' 18.24'' N"
009 - Cividale del Friuli - Piazzale della Vecchia Stazione,Cividale del Friuli - Piazzale della Vecchia Stazione / Viale Libertà n. 55,"13° 25' 36.08'' E, 46° 05' 43.68'' N"
011 - Cividale del Friuli - Parcheggio in Piazza della Resistenza,Cividale del Friuli - Piazza della Resistenza n. 1,"13° 26' 01.06'' E, 46° 05' 23.62'' N"
012 - Purgessimo - Via Ugo Foscolo n. 19,Purgessimo - Via Ugo Foscolo n. 19,"13° 28' 18.93'' E, 46° 05' 56.90'' N"
014 - Rualis - parco in Via Tombe Romane,Rualis - Via Tombe Romane n. 3/B,"13° 25' 59.01'' E, 46° 05' 10.27'' N"
015 - Gagliano - Via della Chiesa,Gagliano - Via della Chiesa n. 37,"13° 26' 13.03'' E, 46° 04' 16.83'' N"
017 - Cividale del Friuli - Zona industriale,Cividale del Friuli - Via dell'Industria n. 54,"13° 23' 29.25'' E, 46° 05' 10.74'' N"
018 - Cividale del Friuli - Piazzale Nicolò Bonessa,Cividale del Friuli - Piazzale Nicolò Bonessa,"13° 25' 29.55'' E, 46° 05' 34.00'' N"
019 - Carraria - Parcheggio Parco della Lesa,Carraria - Via Carraria n. 87,"13° 26' 41.17'' E, 46° 05' 30.82'' N"
020 - Spessa - pesa di Spessa,Spessa - Strada della Pesa di Spessa n. 1,"13° 26' 26.54'' E, 46° 02' 16.00'' N"
